time_step,time_years,time_days,expected_exposure,ee_lower_ci,ee_upper_ci,pfe_75,pfe_90,pfe_95,pfe_97,pfe_99,ee_collateralized
0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.02,4,97549.50,96372.35,98726.64,167274.84,300218.95,379967.91,444203.74,532628.76,97549.50
2,0.03,8,145337.35,143620.70,147053.99,246624.69,442484.75,554502.38,654269.51,766638.43,145337.35
3,0.05,12,184047.41,181917.26,186177.56,317271.05,548286.87,686513.24,805612.87,952649.79,184047.41
4,0.06,16,219521.61,217018.77,222024.45,378075.51,644469.32,808407.67,939767.95,1115739.22,219521.61
5,0.08,20,252058.23,249221.88,254894.59,433668.37,733602.83,915855.05,1080114.76,1260807.56,252058.23
6,0.10,24,282849.73,279705.26,285994.21,484793.89,816974.02,1016459.32,1191464.78,1396178.34,282849.73
7,0.11,28,312847.58,309411.18,316283.98,537035.72,894487.71,1113073.87,1302514.68,1514516.04,312847.58
8,0.13,32,339833.49,336142.79,343524.19,581315.88,961576.64,1200666.63,1396561.89,1640634.03,339833.49
9,0.14,36,367504.20,363552.78,371455.61,628181.66,1040170.65,1283403.93,1499593.61,1741886.22,367504.20
10,0.16,40,393668.54,389481.76,397855.31,674882.88,1100844.97,1364278.92,1586219.32,1840027.23,393668.54
11,0.17,44,419339.11,414911.61,423766.60,714022.30,1169620.38,1446482.08,1683854.10,1946555.25,419339.11
12,0.19,48,444661.83,440005.78,449317.88,756931.88,1231038.76,1523209.37,1769792.81,2056578.03,444661.83
13,0.21,52,469763.18,464886.48,474639.88,799624.87,1292071.24,1586765.30,1858674.98,2163661.00,469763.18
14,0.22,56,495386.11,490278.91,500493.30,840967.34,1354796.98,1663090.46,1937453.87,2269960.74,495386.11
15,0.24,60,520832.12,515498.15,526166.09,882709.55,1421067.54,1742064.61,2024214.73,2349561.95,520832.12
16,0.25,64,543913.38,538390.06,549436.70,923674.33,1473911.05,1809424.65,2089641.85,2443983.88,543913.38
17,0.27,68,567107.20,561390.30,572824.09,954904.46,1526284.51,1874073.64,2176958.05,2514179.54,567107.20
18,0.29,72,590805.28,584893.80,596716.76,997779.81,1577466.64,1931778.65,2247247.53,2612813.63,590805.28
19,0.30,76,614127.23,608020.69,620233.76,1037680.68,1629767.97,1992182.43,2328738.44,2718616.31,614127.23
20,0.32,80,637227.87,630926.92,643528.81,1074428.46,1691866.57,2058408.82,2405597.41,2784848.73,637227.87
21,0.33,84,660962.00,654465.20,667458.81,1110846.51,1741468.89,2134552.42,2468875.34,2872990.80,660962.00
